zscale-x,zscale-y,zscale-z,min_n,max_n,min_r,max_r,valid_gap,dist_sum,dtw_thv
-1.040418,-0.003907,0,,,,,,,
-1.060515,0.01085,0,,,,,,,
-1.080258,0.02589,0,,,,,,,
-1.099671,0.041262,0,,,,,,,
-1.118787,0.057023,0,,,,,,,
-1.13764,0.073232,0,,,,,,,
-1.15627,0.089955,0,,,,,,,
-1.174715,0.107252,0,,,,,,,
-1.193015,0.125181,0,,,,,,,
-1.211205,0.143792,0,,,,,,,
-1.229316,0.163121,0,,,,,,,
-1.247371,0.18319,0,,,,,,,
-1.265384,0.204,0,,,,,,,
-1.283358,0.225532,0,,,,,,,
-1.301283,0.247739,0,,,,,,,
-1.319135,0.27055,0,,,,,,,
-1.336877,0.293864,0,,,,,,,
-1.354454,0.317551,0,,,,,,,
-1.371799,0.341455,0,,,,,,,
-1.388827,0.365393,0,,,,,,,
-1.405443,0.389158,0,,,,,,,
-1.421539,0.412524,0,,,,,,,
-1.436998,0.435245,0,,,,,,,
-1.451694,0.45707,0,,,,,,,
-1.465499,0.477736,0,,,,,,,
-1.478282,0.496985,0,,,,,,,
-1.489915,0.514563,0,,,,,,,
-1.500275,0.530231,0,,,,,,,
-1.509247,0.543767,0,,,,,,,
-1.516727,0.554975,0,,,,,,,
-1.522626,0.563688,0,,,,,,,
-1.526871,0.569775,0,,,,,,,
-1.52941,0.57314,0,,,,,,,
-1.530208,0.573731,0,,,,,,,
-1.529252,0.571537,0,,,,,,,
-1.526554,0.566588,0,,,,,,,
-1.522142,0.558957,0,,,,,,,
-1.516069,0.548758,0,,,,,,,
-1.508405,0.536139,0,,,,,,,
-1.499237,0.521284,0,,,,,,,
-1.48867,0.504402,0,,,,,,,
-1.476816,0.485728,0,,,,,,,
-1.463802,0.46551,0,,,,,,,
-1.449756,0.44401,0,,,,,,,
-1.434813,0.421491,0,,,,,,,
-1.419103,0.398217,0,,,,,,,
-1.402756,0.374441,0,,,,,,,
-1.385893,0.350404,0,,,,,,,
-1.368627,0.326328,0,,,,,,,
-1.351058,0.302413,0,,,,,,,
-1.333274,0.278833,0,,,,,,,
-1.315348,0.255734,0,,,,,,,
-1.297335,0.233234,0,,,,,,,
-1.279278,0.211419,0,,,,,,,
-1.261202,0.190349,0,,,,,,,
-1.243118,0.170053,0,,,,,,,
-1.225021,0.150539,0,,,,,,,
-1.206896,0.131788,0,,,,,,,
-1.188716,0.113766,0,,,,,,,
-1.170448,0.096421,0,,,,,,,
